obs_ID,observer,year,nest,file_name,type,ex_non_ID,pair_ID,start_time_video,capture,cage,sex,sound_ok,bill_call_visible,reality_dt,video_dt,timespan_before_presence,dt_1st_presence,type_p,dt_1st_call,first_who,reply,call_how_many,call_o_alone ,call_o_pres_arrive ,call_c_pres_arrive,dt_1st_flyoff,number_flyoff,duration_flyoff,dt_arrive,type_a,direction_a,with_calling,o_replies,call_c_int,call_o_int,call_int_1,dt_left,type_l,call_left,current_bout,next_bout,pushoff_int,left_before_presence,call_int_c2,dt_on,call_int_c3,abnormality,file_name_new,comments
19,cm,2011,s304,"0AOSD9H0, 0AOSDPI0, 0AOSE9L0, 0AOSEPN0",ex,13,,2011-Jun-17 15:55:25,n,n,m,y,n,,,,2011-Jun-17 16:25:17,v,2011-Jun-17 16:22:13,o,NA,1,1,NA,NA,NA,0,0,2011-Jun-17 16:25:17,w,r,n,n,3,0,2,2011-Jun-17 16:25:01,f,y,594.6,790.8333333,0,y,3,2011-Jun-17 16:25:25,2,n,s304_2011_Jun_17_16-25-25,"there was a call near by the nest at 16:24:24 but I couldn't see the bird, it might be the incoming bird, though, therefore I noted ""no"" for leaving nest before presence "
20,cm,2011,s304,"0AOTRBE0, 0AOTRRH0, 0AOTSBJ0, 0AOTSRL0, 0AOTTBN0",ex,14,,2011-Jun-18 05:06:28,n,n,f,y,n,,,,2011-Jun-18 05:35:28,a,2011-Jun-18 05:20:58,o,NA,3,2,1,1,NA,0,0,2011-Jun-18 05:36:01,f,f,n,n,3,0,2,2011-Jun-18 05:36:15,f,n,790.8333333,533.75,1,n,0,2011-Jun-18 05:36:28,2,n,s304_2011_Jun_18_05-36-28,"additional data: 5:17:52 bird flyinh over; 5:20:54 call in the distance; 5:20:58 call on nest; 5:21:07 call in the distance; 5:21:12 call on nest; 5:21:24 call in the distance; 5:21:56 call in the distance, 5:22:00 bird flyinh over"
21,cm,2011,s304,"0AOUQJR0, 0AOUR3R0, 0AOURJT0, 0AOUS3K0, 0AOUSJ60",ex,15,,2011-Jun-18 14:00:28,n,n,m,y,n,,,,2011-Jun-18 14:30:08,v,2011-Jun-18 14:25:43,o,NA,1,1,NA,NA,NA,0,0,2011-Jun-18 14:30:08,w,b,n,n,1,0,1,2011-Jun-18 14:30:13,f,y,533.75,870.1666667,1,n,0,2011-Jun-18 14:30:28,2,n,s304_2011_Jun_18_14-30-28,laute Motorengeraeusche im Hintergrund; additional data: several calls in the distance before the first call on the nest
22,cm,2011,s304,"0AP0DP00, 0AP0E8A0, 0AP0ENL0, 0AP0F700, 0AP0FMA0",ex,16,,2011-Jun-19 04:30:49,n,n,f,y,n,,,,2011-Jun-19 05:00:26,v,2011-Jun-19 04:46:24,o,NA,8,8,NA,NA,NA,0,0,2011-Jun-19 05:00:26,f,l,n,n,0,0,0,2011-Jun-19 05:00:38,f,n,870.1666667,707.6833,1,n,3,2011-Jun-19 05:00:49,2,n,s304_2011_Jun_19_05-00-49,at five  times there were calls in the distance and the bird on nest called right after that.
23,cm,2011,s304,"0AP1NE30, 0AP1NU10, 0AP1OE10, 0AP1OU00",ex,17,,2011-Jun-19 16:18:42,n,n,m,y,n,,,,2011-Jun-19 16:48:17,v,2011-Jun-19 16:19:19,o,n,2,2,NA,NA,NA,0,0,2011-Jun-19 16:48:17,w,f,n,n,3,0,2,2011-Jun-19 16:48:30,f,y,707.6833,842.8833333,1,n,1,2011-Jun-19 16:48:42,2,n,s304_2011_Jun_19_16-48-42,
24,cm,2011,s304,"0AP3A240, 0AP3AHE0",ex,18,,2011-Jun-20 06:21:54,n,n,f,y,n,,,,2011-Jun-20 06:51:19,b,2011-Jun-20 06:47:53,o,NA,1,1,NA,NA,NA,0,0,2011-Jun-20 06:51:19,f,f,y,n,0,0,0,2011-Jun-20 06:51:35,f,n,842.8833333,763.7333333,0,n,2,2011-Jun-20 06:51:54,1,t,s304_2011_Jun_20_06-51-54,"videos start at 6:42:13, around 21 minutes of film is missing, so we have only about 9 minutes instead of 30 minutes."
25,cm,2011,s304,"0AP4LGJ0, 0AP4M0M0, 0AP4MGO0, 0AP4N0Q0, 0AP4NGT0",ex,19,,2011-Jun-20 19:05:47,n,n,m,y,n,,,,2011-Jun-20 19:35:23,v,2011-Jun-20 19:35:33,o,y,2,2,NA,NA,NA,0,0,2011-Jun-20 19:35:23,w,f,n,n,1,1,1,2011-Jun-20 19:35:38,f,n,763.7333333,728.2,1,n,3,2011-Jun-20 19:35:47,2,n,s304_2011_Jun_20_19-35-47,there is a short call in the background and the bird on nest whistles 4 seconds later (19:29:03)
26,cm,2011,s304,"0AP60LI0, 0AP61K90",ex,20,,2011-Jun-21 07:14:00,n,n,f,y,n,,,,2011-Jun-21 07:43:22,v,2011-Jun-21 07:37:02,o,NA,3,3,NA,NA,NA,0,0,2011-Jun-21 07:43:22,w,f,y,y,3,3,3,2011-Jun-21 07:43:59,wf,n,728.2,766.5,3,n,3,2011-Jun-21 07:44:04,2,t,s304_2011_Jun_21_07-44-04,"there are about 16 minutes of video missing, between 7:13:59 and 7:20:18, and again between 7:26:42 and 7:36:41. there are calls in the distance it seems the bird on nest replies to, so I put a ? at reply first call. The incoming bird seems to have to push the incubating bird off the nest."
27,cm,2011,s304,"0AODNGV0, 0AODO130, 0AODOH60, 0AODP190",non,1,4,2011-Jun-12 02:17:03,n,n,f,y,n,,,0:29:44,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,
28,cm,2011,s304,"0AOGQGL0, 0AOGR0O0, 0AOGRGQ0, 0AOGS0S0",non,2,5,2011-Jun-13 06:26:30,n,n,m,y,n,,,0:29:01,NA,NA,2011-Jun-13 06:32:40,o,n,2,2,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,"at the first call (06:32:40) there maybe an answer in the distance, and at the second call (06:40:15) the incuabting bird seems to answer a call that came before from the distance"
29,cm,2011,s304,"0AOKFQM0, 0AOKGAQ0, 0AOKGQU0, 0AOKHB30",non,3,6,2011-Jun-14 15:48:38,n,n,m,y,n,,,0:29:19,NA,NA,2011-Jun-14 16:06:15,o,n,2,2,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,both calls followed a call in the distance
30,cm,2011,s304,"0AOLH0G0, 0AOLHGI0, 0AOLI0J0, 0AOLIGM0",non,4,7,2011-Jun-15 01:14:57,n,n,f,y,n,,,0:29:03,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,
31,cm,2011,s304,"0AONJN80, 0AONK7B0, 0AONKNE0, 0AONL7H0",non,5,8,2011-Jun-15 21:56:30,n,n,f,y,n,,,0:29:52,NA,NA,2011-Jun-15 22:25:00,o,n,2,2,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,it may be that the bird repliedto a call in the distance
32,cm,2011,s703,"0AOVE420, 0AOVF3V0, 0AOVG3U0, 0AOVG3U0, 0AOVGCN0",ex,1,,2011-Jun-18 19:35:58,n,n,m,n,n,,,,2011-Jun-18 20:05:08,v,2011-Jun-18 19:39:17,o,n,5,5,NA,NA,NA,0,0,2011-Jun-18 20:05:08,w,b,n,n,0,0,0,2011-Jun-18 20:04:34,wf,n,NA,640.0666667,0,y,0,2011-Jun-18 20:05:58,0,n ,s703_2011_Jun_19_20-35-28,"I'm not that sure about the sound, maybe it's very quiet?"
33,mb,2011,s703,"0AP0JD90, 0AP0KDC0, 0AP0LDG0; 0AP0LU10",ex,2,9,2011-Jun-19 06:16:06,n,n,m,y,n,,,0:29:46,2011-Jun-19 06:45:52,v,2011-Jun-19 06:22:41,o,n,1,1,NA,NA,NA,0,0,2011-Jun-19 06:45:52,w,l,n,n,2,0,2,2011-Jun-19 06:46:02,f,n,640.0666667,700.9667,3,n,3,2011-Jun-19 06:46:06,0,n,s703_2011_Jun_19_06-46-06,coming bird pushed incubating one off the nest
34,cm,2011,s703,"0AP1SGL0, 0AP1TGB0, 0AP1UG40, 0AP1V290",ex,3,10,2011-Jun-19 17:57:50,n,n,f,n,n,,,0:29:27,2011-Jun-19 18:27:17,v,2011-Jun-19 18:04:38,o,n,4,4,NA,NA,2011-Jun-19 18:02:21,1,0:02:47,2011-Jun-19 18:27:17,f,b,n,n,0,0,0,2011-Jun-19 18:27:04,wf,n,700.9667,616.9,0,y,1,2011-Jun-19 18:27:50,1,n,s703_2011_Jun_19-18-27-50,"sound is not sufficient, incubating bird left once for 2.47 minutes, there's also another bird at 18:04:39 in the left corner of camera only the wing visible"
35,cm,2011,s703,"0AP312G0, 0AP322K0, 0AP332P0, 0AP336M0",ex,4,11,2011-Jun-20 04:14:53,n,n,m,n,n,,,0:29:42,2011-Jun-20 04:44:35,v,2011-Jun-20 04:28:50,o,n,1,1,NA,NA,NA,0,0,2011-Jun-20 04:44:35,w,l,n,n,0,0,0,2011-Jun-20 04:44:44,f,n,616.9,844.75,2,n,3,2011-Jun-20 04:44:53,0,t,s703_2011_Jun_20-04-44-53,"the sun shines directly into the camera, no good sight on the area"
36,cm,2011,s703,"0AP4IMQ0, 0AP4JMT0, 0AP4KMV0, 0AP4KP60",ex,5,12,2011-Jun-20 18:21:02,n,n,f,n,n,,,0:28:37,2011-Jun-20 18:49:39,a,2011-Jun-20 18:44:26,o,n,5,5,0,4,NA,0,0,2011-Jun-20 18:50:48,w,r,n,n,0,0,0,2011-Jun-20 18:49:38,f,n,844.75,716.05,0,y,0,2011-Jun-20 18:51:02,2,n,s703_2011_Jun_20_18-51-02,call intensity c3: bird called a lot when another  bird flew over nest
37,cm,2011,s703,"0AP5SQF0, 0AP5TQL0, 0AP5UNS0",ex,6,13,2011-Jun-21 06:17:05,n,n,m,n,n,,,0:29:12,2011-Jun-21 06:46:17,a,2011-Jun-21 06:32:27,o,n,2,1,0,1,2011-Jun-21 06:31:02,1,0:01:40,2011-Jun-21 06:46:54,w,b,y,y,3,3,3,2011-Jun-21 06:47:05,f,n,716.05,847.167,3,n,0,2011-Jun-21 06:47:05,0,t,s703_2011_Jun_21_06-47-05,"sun right in front of camera, therefore bad visibility. Sound very low, I hope I can ear all calls. Bird on nest left once for 1:40 minutes at 6:31:02. Bird on nest was basically pushed away from nest by incoming bird."
38,cm,2011,s703,"0AP1BL30, 0AP1CKS0",non,1,9,2011-Jun-19 12:57:10,n,n,f,y,n,,,0:29:46,NA,NA,NA,NA,NA,0,0,NA,NA,2011-Jun-19 13:08:16,2,0:03:15,NA,,,,,,,,,,,NA,NA,,,,,,,,did not call when fly off or returned
39,cm,2011,s703,"0AP2A120, 0AP2B0S0",non,2,10,2011-Jun-19 21:35:33,n,n,m,y,n,,,0:29:27,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,
40,cm,2011,s703,"0AP4CMF0, 0AP4DMH0",non,3,11,2011-Jun-20 16:33:19,n,n,f,y,n,,,0:29:42,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,
41,cm,2011,s703,"0AP4ROJ0, 0AP4SOJ0",non,4,12,2011-Jun-20 20:50:27,n,n,m,y,n,,,0:28:37,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,
42,cm,2011,s703,"0AP58Nu0, 0AP59O10",non,5,13,2011-Jun-21 00:32:04,n,n,m,y,n,,,0:29:12,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,NA,,,,,,,,,,,NA,NA,,,,,,,,
43,cm,2011,s302,"0AOV9A60, 0AOVAA20, 0AOVB9T0",ex,1,14,2011-Jun-18 18:12:37,n,n,m,y,n,,,0:29:30,2011-Jun-18 18:42:07,b,2011-Jun-18 18:21:55,o,n,4,4,NA,NA,2011-Jun-18 18:20:37,1,0:01:27,2011-Jun-18 18:42:07,f,l,y,y,2,2,2,2011-Jun-18 18:42:19,f,n,654.333,795.583,1,n,2,2011-Jun-18 18:42:37,NA,t,s302_2011_Jun_18_18-42-37,there are no 5 minutes of video after the incoming bird is on nest. Bird on nest left once for 2 minutes at 18:20:37
44,cm,2011,s302,"0AOV5AR0, 0AOV6AM0",non,1,14,2011-Jun-18 16:57:00,n,n,m,y,n,,,0:29:30,NA,NA,2011-Jun-18 17:02:45,o,n ,2,2,NA,NA,2011-Jun-18 17:10:41,1,0:03:02,NA,,,,,,,,,,,NA,NA,,,,,,,,"fieldworkers were close to nest that's why the bird probably flew off, the fly off shouldn't count therefore, I also did not count the calls the bird made when it returned to the nest."
45,cm,2011,s302,"0AP1KSM0, 0AP1LSJ0",non,2,,2011-Jun-19 15:34:53,n,n,m,y,n,,,0:29:46,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,,,,,,,,,,,,NA,NA,,,,,,,,
